Ang_dev,BX,BY,BZ,ChisQ_DOF_nonlin,EW_flowangle,NS_flowangle,Proton_Np_moment,Proton_Np_nonlin,Proton_VX_moment,Proton_VX_nonlin,Proton_VY_moment,Proton_VY_nonlin,Proton_VZ_moment,Proton_VZ_nonlin,Proton_V_moment,Proton_V_nonlin,Proton_W_moment,Proton_W_nonlin,Proton_Wpar_moment,Proton_Wpar_nonlin,Proton_Wperp_moment,Proton_Wperp_nonlin,Proton_sigmaNp_nonlin,Proton_sigmaVX_nonlin,Proton_sigmaVY_nonlin,Proton_sigmaVZ_nonlin,Proton_sigmaV_nonlin,Proton_sigmaW_nonlin,Proton_sigmaWpar_nonlin,Proton_sigmaWperp_nonlin,dev,xgse,ygse,ygsm,zgse,zgsm,target
3.669811487,7.74694252,6.161525726,-14.12201881,0.305156767,27.82025719,3.743697643,8.856048584,10.18730736,-328.2105103,-325.4716797,-117.6045837,-171.7488403,12.19051933,24.07982635,348.8575439,368.7944031,94.37191772,121.8274612,109.326828,113.0456467,107.3307419,125.9890289,0.469406068,83.53044128,70.21252441,11.65966034,80.647995,39.51221085,60.55056381,50.46355057,1.492201447,-3.09783268,-23.57111549,-19.70063782,0.253526568,12.94463444,1
3.791320562,8.722001076,7.130299568,-14.38380623,0.11850553,27.23730659,0.56964457,7.803495407,8.634127617,-345.7223816,-342.0804138,-128.9272156,-176.0871124,-3.316551447,3.825288296,368.9948425,384.7601013,107.7314529,125.9801102,132.776062,110.6769104,115.5890656,132.9729004,0.283558279,109.6684113,91.26581573,1.887530923,106.0730591,41.7701416,65.0813446,52.82117081,1.310719967,-3.081781149,-23.59753418,-19.71505737,0.255567551,12.9707756,1
7.826490879,-1.620961905,-1.548217416,-16.12679863,2.032274961,29.43374825,2.67504096,9.099567413,10.25949287,-313.5900269,-326.2306519,-78.85295105,-184.0747681,27.22761345,17.50119781,324.4962769,374.9883423,83.01868439,145.9892731,150.0163269,195.7519684,79.15807343,113.1807861,0.051297463,14.19392681,15.68480492,2.521992445,14.55254173,27.53637695,61.22207642,5.960334778,1.822052956,-2.921125412,-23.85998726,-19.86461449,0.275956213,13.22021389,1
15.05003548,-5.920181751,-7.267817497,-13.81203556,0.116155528,29.43113518,2.347778082,8.551549911,10.37084579,-329.7323303,-326.1131592,-114.3922577,-183.9888763,-2.882712364,15.35161877,349.0233459,374.7497253,97.15527344,128.3794861,93.39112854,128.3720245,113.7359009,128.3832245,0.38188833,75.3719101,74.0921936,7.079258919,75.00247192,37.90517044,79.53999329,40.63544846,1.325081706,-2.872906208,-23.93832779,-19.91095924,0.28206712,13.29208946,1
3.999977827,-8.44178772,-10.21574211,-9.404953957,0.159544781,28.39409637,4.074831009,9.084450722,8.581981659,-319.6361389,-316.3671875,-110.4267349,-171.016983,11.4408884,25.6199379,338.3669739,360.5431824,93.01570892,120.1415482,115.3733444,113.153717,93.16026306,123.4872742,0.042909909,5.128650665,5.03335619,1.357633233,5.095259666,2.77643919,3.662189484,3.688093424,0.943338394,-2.857342958,-23.9636898,-19.92575073,0.284040987,13.31573391,1
19.86514664,-5.615093708,-6.485581875,-10.93775177,0.726896524,25.56093407,3.510731697,11.14915371,11.57289028,-339.6152649,-335.7603149,-103.5779495,-160.5879974,7.832598209,22.83393288,355.1454163,372.8872375,102.8539658,120.1702957,109.565979,121.5792084,105.3397217,119.4596024,0.819979191,74.87127686,81.72999573,11.06727219,76.05495453,39.64912415,75.68832397,45.78073502,1.902384639,-2.841275215,-23.98983765,-19.9411087,0.286078155,13.33993626,1
11.17598438,4.683564663,5.053304195,-5.70093298,2.888340235,11.08095741,8.359257698,19.16202736,14.95574856,-388.5812378,-383.7835693,-77.12187195,-75.16288757,33.37728882,57.46474075,397.5640869,395.2739258,118.4077377,127.0271835,123.3596268,75.26072693,119.2766571,146.1908569,0.241153434,47.96774673,25.44039154,21.32658195,46.92646027,19.67733574,21.75970268,25.02775955,5.263309956,-2.793056965,-24.06809998,-19.98773766,0.292187393,13.41129017,1
4.896410465,-0.316604286,-1.120054722,-1.183678746,0.097148471,0.744812846,3.446465492,7.060675621,6.523007393,-527.515625,-520.2356567,-2.167717695,-6.763151169,33.5549202,31.33374786,528.5861816,521.22229,77.22450256,44.66509628,90.04198456,44.91686249,77.25070953,44.53867722,0.072062545,23.37732315,1.283874512,4.914963722,23.33494759,8.106078148,23.64990997,2.543684006,0.472679615,-2.616583824,-24.3519268,-20.16581917,0.314494908,13.65572548,1
6.426661015,-0.45345059,-1.156204224,-1.206371307,0.06221205,0.610579371,3.440402031,7.072040081,6.554505825,-532.6264648,-524.6485596,-1.112120271,-5.591192245,33.34911728,31.54293442,533.6706543,525.6256714,77.91389465,44.46988678,86.5670929,43.38417435,77.85639191,45.00292587,0.072588481,23.7342205,1.059212565,4.963229179,23.69197655,5.979380131,17.61033058,2.548759699,0.615294456,-2.600482225,-24.37762451,-20.18268585,0.316526353,13.67669201,1
7.588454723,-0.527552426,-0.7313658,-1.367079377,0.037973728,0.654135704,3.618130207,6.902230263,6.437291145,-532.3797607,-525.324707,0.600911975,-5.99779892,36.52858734,33.2196846,533.6318359,526.4082031,77.1754837,45.75164795,78.63695526,46.08099365,78.55686951,45.58608627,0.069704451,24.28476524,1.154629827,5.33155632,24.23711967,4.817413807,13.34565926,2.664223909,0.38464424,-2.568273306,-24.4289341,-20.21675491,0.320588022,13.71794796,1
